capability_id	source_refs	p4_delta_id	capability	classification	semantic_owner	module_boundary	local_consumer	public_consumer	build_edge	acceptance_test_id	p7_task_ids
P5-C033	P4-B033;P2-06-FLT-S08;P3-07-§7	P4-B033	FILTERING FLT-S08 Building room	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; occurrence query; UI	public:FilterSchema; occurrence query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C033-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C034	P4-B034;P2-06-FLT-S09;P3-07-§7	P4-B034	FILTERING FLT-S09 Exam code	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; section query; UI	public:FilterSchema; section query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C034-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C035	P4-B035;P2-06-FLT-S10;P3-07-§7	P4-B035	FILTERING FLT-S10 Special permission	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; section query; UI	public:FilterSchema; section query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C035-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C036	P4-B036;P2-06-FLT-S11;P3-07-§7	P4-B036	FILTERING FLT-S11 Eligibility major minor honors	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; section query; UI	public:FilterSchema; section query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C036-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C037	P4-B037;P2-06-§6;P3-07-§9	P4-B037	COURSE_SECTION_NAV course-centered results and variants	SHARED	SHARED_BUSINESS_CORE	web/shared	local:course API; React cards; responsive UI	public:course API; React cards; responsive UI	shared_core->local_entry;shared_core->public_entry	P5-T-C037-SHARED	P7-SHARED-UI;P7-SHARED-QUERY
P5-C038	P4-B038;P2-06-§6;P3-07-§8-§9	P4-B038	SECTION_DETAIL independent search and direct detail	SHARED	SHARED_BUSINESS_CORE	web/shared	local:section API; router fallback; React detail	public:section API; router fallback; React detail	shared_core->local_entry;shared_core->public_entry	P5-T-C038-SHARED	P7-SHARED-UI;P7-SHARED-QUERY
P5-C039	P4-B039;P2-06-§7.1	P4-B039	SUBSCRIPTIONS current-page selected sections	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public session adapter; chooser UI; watch start	public_adapter->public_entry	P5-T-C039-PUBLIC;P5-T-C039-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-WATCH
P5-C040	P4-B040;P2-06-§8;P3-07-§12.3	P4-B040	SUBSCRIPTIONS active live watch lifecycle	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-watch	local:WebSocket runtime; session UI; Open fanout	public:WebSocket runtime; session UI; Open fanout	shared_core->local_entry;shared_core->public_entry	P5-T-C040-SHARED	P7-SHARED-WATCH
P5-C041	P4-B041;P2-06-§8	P4-B041	SUBSCRIPTIONS centralized WebSocket fanout	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-watch	local:public WebSocket endpoint; watch runtime; UI	public:public WebSocket endpoint; watch runtime; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C041-SHARED	P7-SHARED-WATCH;P7-PUBLIC-RUNTIME
P5-C042	P4-B042;P2-06-§8;P3-07-§12.3	P4-B042	SUBSCRIPTIONS maximum nine selected sections	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-watch	local:selection UI; watch API; tests	public:selection UI; watch API; tests	shared_core->local_entry;shared_core->public_entry	P5-T-C042-SHARED	P7-SHARED-WATCH;P7-SHARED-UI
P5-C043	P4-B043;P2-06-§9.2	P4-B043	AUDIO_NOTIFICATIONS toast alert aggregation	SHARED	SHARED_BUSINESS_CORE	web/shared	local:React alert center; watch frames; a11y	public:React alert center; watch frames; a11y	shared_core->local_entry;shared_core->public_entry	P5-T-C043-SHARED	P7-SHARED-UI;P7-SHARED-WATCH
P5-C044	P4-B044;P2-06-§9-§10;P3-23a-§7	P4-B044	AUDIO_NOTIFICATIONS ONE_SHOT Max audible notifications	SHARED	SHARED_BUSINESS_CORE	web/shared	local:browser mixer; alert state; watch UI	public:browser mixer; alert state; watch UI	shared_core->local_entry;shared_core->public_entry	P5-T-C044-SHARED	P7-SHARED-UI;P7-SHARED-WATCH
P5-C045	P4-B045;P2-06-§10.3;P3-23a-§7	P4-B045	AUDIO_NOTIFICATIONS CONTINUOUS alarm confirmation	SHARED	SHARED_BUSINESS_CORE	web/shared	local:browser mixer; episode state; alert UI	public:browser mixer; episode state; alert UI	shared_core->local_entry;shared_core->public_entry	P5-T-C045-SHARED	P7-SHARED-UI;P7-SHARED-WATCH
P5-C046	P4-B046;P2-06-§10;P3-23a-§8	P4-B046	AUDIO_NOTIFICATIONS browser-only bounded mixer	SHARED	SHARED_BUSINESS_CORE	web/shared	local:React audio service; accessibility UI	public:React audio service; accessibility UI	shared_core->local_entry;shared_core->public_entry	P5-T-C046-SHARED	P7-SHARED-UI
P5-C047	P4-B047;P2-06-§7.1	P4-B047	PERSISTENCE current-page alert and watch history	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/session_adapter	NONE	public:public session adapter; React alert list	public_adapter->public_entry	P5-T-C047-PUBLIC;P5-T-C047-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-UI
P5-C048	P4-B048;P2-06-§12;P3-07-§9.3	P4-B048	I18N en-US zh-CN complete product shell	SHARED	SHARED_BUSINESS_CORE	web/shared/i18n	local:React i18n; API error keys; docs	public:React i18n; API error keys; docs	shared_core->local_entry;shared_core->public_entry	P5-T-C048-SHARED	P7-SHARED-I18N;P7-SHARED-UI
P5-C049	P4-B049;P2-06-§7.1;§12	P4-B049	I18N public locale initialization	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/session_adapter	NONE	public:public session bootstrap; React i18n	public_adapter->public_entry	P5-T-C049-PUBLIC;P5-T-C049-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-I18N
P5-C050	P4-B050;P2-06-§7.1	P4-B050	PERSISTENCE public audio and filter settings	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/session_adapter	NONE	public:public session adapter; filter store; audio UI	public_adapter->public_entry	P5-T-C050-PUBLIC;P5-T-C050-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-UI
P5-C051	P4-B051;workflow-§13;P2-06-§7.1	P4-B051	PERSISTENCE public session boundary	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/session_adapter	NONE	public:public bootstrap; HTTP session boundary; WebSocket	public_adapter->public_entry	P5-T-C051-PUBLIC;P5-T-C051-NOLOCAL	P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME
P5-C052	P4-B052;P3-07-§8	P4-B052	API stable typed product surfaces	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-domain	local:public HTTP server; React client; tests	public:public HTTP server; React client; tests	shared_core->local_entry;shared_core->public_entry	P5-T-C052-SHARED	P7-SHARED-DOMAIN;P7-PUBLIC-RUNTIME
P5-C053	P4-B053;P2-03-CAP-I03;P3-07-§9.2	P4-B053	PUBLIC_RUNTIME health readiness and truthful degradation	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public runtime; systemd; monitoring; status UI	public_adapter->public_entry	P5-T-C053-PUBLIC;P5-T-C053-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS
P5-C054	P4-B054;P2-03-CAP-I04;P3-23a-§6	P4-B054	PUBLIC_RUNTIME structured redacted logs metrics and retention	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:tracing; metrics; operations	public_adapter->public_entry	P5-T-C054-PUBLIC;P5-T-C054-NOLOCAL	P7-PUBLIC-OPS
P5-C055	P4-B055;P3-07-§4.2;workflow-§13	P4-B055	PUBLIC_RUNTIME network and security boundary	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public entrypoint; reverse proxy; systemd	public_adapter->public_entry	P5-T-C055-PUBLIC;P5-T-C055-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS
P5-C056	P4-B056;workflow-§13	P4-B056	PUBLIC_RUNTIME Linux Rust entrypoint	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public entry crate; Linux artifact	public_adapter->public_entry	P5-T-C056-PUBLIC;P5-T-C056-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-PACKAGE
P5-C057	P4-B057;workflow-§13;P3-07-§5;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P4-B057	PUBLIC_RUNTIME /var/lib/bcsp operational-only storage with zero personal migrations or tables	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter:/var/lib/bcsp/operational-only	NONE	public:operational storage adapter; backup tools; runtime; personal schema denylist	public_adapter->public_entry	P5-T-C057-PUBLIC;P5-T-C057-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS
P5-C058	P4-B058;workflow-§13	P4-B058	PUBLIC_OPS systemd lifecycle	PUBLIC_ONLY	PUBLIC_ADAPTER	deploy/public	NONE	public:systemd unit; install and rollback docs	public_adapter->public_entry	P5-T-C058-PUBLIC;P5-T-C058-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
P5-C059	P4-B059;workflow-§13	P4-B059	PUBLIC_OPS Caddy HTTPS and reverse proxy	PUBLIC_ONLY	PUBLIC_ADAPTER	deploy/public	NONE	public:Caddy config template; deployment docs	public_adapter->public_entry	P5-T-C059-PUBLIC;P5-T-C059-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
P5-C060	P4-B060;workflow-§13	P4-B060	PUBLIC_OPS backup upgrade restore rollback	PUBLIC_ONLY	PUBLIC_ADAPTER	deploy/public	NONE	public:operations scripts and docs; release validation	public_adapter->public_entry	P5-T-C060-PUBLIC;P5-T-C060-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
P5-C061	P4-B061;P2-03-CAP-017;workflow-§13	P4-B061	SHARED_UI desktop mobile responsive accessibility	SHARED	SHARED_BUSINESS_CORE	web/shared	local:React UI; browser tests; visual tests	public:React UI; browser tests; visual tests	shared_core->local_entry;shared_core->public_entry	P5-T-C061-SHARED	P7-SHARED-UI
P5-C062	P4-B062;P3-23a-§8	P4-B062	OPEN_POLLING latency wording	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-open	local:status UI; alert UI; docs	public:status UI; alert UI; docs	shared_core->local_entry;shared_core->public_entry	P5-T-C062-SHARED	P7-SHARED-OPEN;P7-SHARED-UI
P5-C063	P4-B063;P2-06-§11;workflow-§13	P4-B063	CATALOG_REFRESH ordinary browser refresh isolation	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public HTTP adapter; scheduler boundary	public_adapter->public_entry	P5-T-C063-PUBLIC;P5-T-C063-NOLOCAL	P7-PUBLIC-RUNTIME
P5-C064	P4-B064;P3-07-§13;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P4-B064	LOCAL_ONLY Windows RBCSP.exe and BAT launcher with resolved-executable-root storage anchor	LOCAL_ONLY	LOCAL_ADAPTER	deploy/local:resolved-executable-root	local:build graph; package manifest; CWD-independent data/rbcsp.sqlite path resolution	NONE	local_adapter->local_entry	P5-T-C064-LOCAL;P5-T-C064-NOPUBLIC	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE
P5-C065	P4-B065;P3-07-§5;§11;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P4-B065	LOCAL_ONLY personal table and migration domain inside package-root data/rbcsp.sqlite	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/state_runtime_adapter:data/rbcsp.sqlite/personal-domain	local:single physical storage graph; personal API; migrations; package path contract	NONE	local_adapter->local_entry	P5-T-C065-LOCAL;P5-T-C065-NOPUBLIC	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE
P5-C066	P4-B066;P3-07-§10	P4-B066	SAVED_VIEWS LOCAL_ONLY manager codec persistence API	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/saved_views_adapter	local:public feature graph; React build; API; artifact audit	NONE	local_adapter->local_entry	P5-T-C066-LOCAL;P5-T-C066-NOPUBLIC	P7-LOCAL-SAVED-VIEWS;P7-PUBLIC-ZERO-SURFACE
P5-C067	P4-B067;P3-07-§11.2	P4-B067	PERSISTENCE LOCAL_ONLY durable episode watch history	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/state_runtime_adapter	local:public storage; API; UI; artifact	NONE	local_adapter->local_entry	P5-T-C067-LOCAL;P5-T-C067-NOPUBLIC	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE
P5-C068	P4-B068;P3-07-§11.3	P4-B068	RESET LOCAL_ONLY reset local user data	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/reset_adapter	local:public API; settings UI; route and bundle audit	NONE	local_adapter->local_entry	P5-T-C068-LOCAL;P5-T-C068-NOPUBLIC	P7-LOCAL-RESET;P7-PUBLIC-ZERO-SURFACE
P5-C069	P4-B069;P3-07-§12.1-§12.2	P4-B069	LOCAL_ONLY configurable Catalog and Open intervals	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/state_runtime_adapter	local:public UI; API; config schema	NONE	local_adapter->local_entry	P5-T-C069-LOCAL;P5-T-C069-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE
P5-C070	P4-B070;P3-23a-§6	P4-B070	LOCAL_ONLY run counters	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/state_runtime_adapter	local:status API; metrics UI	NONE	local_adapter->local_entry	P5-T-C070-LOCAL;P5-T-C070-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE
P5-C071	P4-B071;P3-07-§8;§12	P4-B071	LOCAL_ONLY immediate upstream refresh action	LOCAL_ONLY	LOCAL_ADAPTER	apps/bcsp-local/state_runtime_adapter	local:public API allowlist; React UI; route audit	NONE	local_adapter->local_entry	P5-T-C071-LOCAL;P5-T-C071-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE
P5-C072	P4-B072;P3-07-§13;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P4-B072	LOCAL_ONLY Windows package documentation and assets with zero DB WAL SHM seed or real data payload	LOCAL_ONLY	LOCAL_ADAPTER	deploy/local:zero-data-payload	local:package allowlist; database and real-data denylist; docs audit	NONE	local_adapter->local_entry	P5-T-C072-LOCAL;P5-T-C072-NOPUBLIC	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE
P5-C073	P4-B073;P2-04-ONLY-009-010	P4-B073	PUBLIC_RUNTIME Node Fastify npm Vite-dev runtime	EXCLUDED	NO_PRODUCT_OWNER	NONE	NONE	NONE	NO_BUILD_EDGE	P5-T-C073-NOLOCAL;P5-T-C073-NOPUBLIC	P7-SHARED-BUILD-GUARD;P7-LOCAL-PACKAGE;P7-PUBLIC-PACKAGE
P5-C074	P4-B074;workflow-§17.4;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P4-B074	PUBLIC_PACKAGE Linux deployment package with /var/lib/bcsp operational-only runtime root and zero data payload	PUBLIC_ONLY	PUBLIC_ADAPTER	deploy/public:/var/lib/bcsp/operational-only	NONE	public:build and artifact manifest; personal-schema and database-payload denylist	public_adapter->public_entry	P5-T-C074-PUBLIC;P5-T-C074-NOLOCAL	P7-PUBLIC-PACKAGE
P5-C075	P4-B075;workflow-§17.4;§18	P4-B075	PUBLIC_PACKAGE deployment authorization boundary	PUBLIC_ONLY	PUBLIC_ADAPTER	deploy/public	NONE	public:governance gate; operations docs; release workflow	public_adapter->public_entry	P5-T-C075-PUBLIC;P5-T-C075-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
