trace_id	source_kind	source_ref	requirement_id	capability_id	classification	implementation_target	verification_test_ids	p7_task_ids	p6_handoff	gate_status
P5-X0019	CAPABILITY_CLASSIFICATION	P4-B019;P4-B019;P2-06-FLT-C05;P3-07-§7	P5-C019	P5-C019	SHARED	crates/bcsp-query	P5-T-C019-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0020	CAPABILITY_CLASSIFICATION	P4-B020;P4-B020;P2-06-FLT-C06;P3-07-§7	P5-C020	P5-C020	SHARED	crates/bcsp-query	P5-T-C020-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0021	CAPABILITY_CLASSIFICATION	P4-B021;P4-B021;P2-06-FLT-C07;P3-07-§7	P5-C021	P5-C021	SHARED	crates/bcsp-query	P5-T-C021-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0022	CAPABILITY_CLASSIFICATION	P4-B022;P4-B022;P2-06-FLT-C08;P3-07-§7	P5-C022	P5-C022	SHARED	crates/bcsp-query	P5-T-C022-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0023	CAPABILITY_CLASSIFICATION	P4-B023;P4-B023;P2-06-FLT-C09;P3-07-§7	P5-C023	P5-C023	SHARED	crates/bcsp-query	P5-T-C023-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0024	CAPABILITY_CLASSIFICATION	P4-B024;P4-B024;P2-06-FLT-C10;P3-07-§7	P5-C024	P5-C024	SHARED	crates/bcsp-query	P5-T-C024-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0025	CAPABILITY_CLASSIFICATION	P4-B025;P4-B025;P2-06-FLT-S01;P3-07-§7	P5-C025	P5-C025	SHARED	crates/bcsp-query	P5-T-C025-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0026	CAPABILITY_CLASSIFICATION	P4-B026;P4-B026;P2-06-FLT-S02;P3-07-§7	P5-C026	P5-C026	SHARED	crates/bcsp-query	P5-T-C026-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0027	CAPABILITY_CLASSIFICATION	P4-B027;P4-B027;P2-06-FLT-S03;P3-23a-§6	P5-C027	P5-C027	SHARED	crates/bcsp-query	P5-T-C027-SHARED	P7-SHARED-QUERY;P7-SHARED-OPEN;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0028	CAPABILITY_CLASSIFICATION	P4-B028;P4-B028;P2-06-FLT-S04a;P3-07-§5.5	P5-C028	P5-C028	SHARED	crates/bcsp-query	P5-T-C028-SHARED	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0029	CAPABILITY_CLASSIFICATION	P4-B029;P4-B029;P2-06-FLT-S04b;P3-07-§5.5	P5-C029	P5-C029	SHARED	crates/bcsp-query	P5-T-C029-SHARED	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0030	CAPABILITY_CLASSIFICATION	P4-B030;P4-B030;P2-06-FLT-S05;P3-07-§7	P5-C030	P5-C030	SHARED	crates/bcsp-query	P5-T-C030-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0031	CAPABILITY_CLASSIFICATION	P4-B031;P4-B031;P2-06-FLT-S06;P3-07-§7.3	P5-C031	P5-C031	SHARED	crates/bcsp-query	P5-T-C031-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0032	CAPABILITY_CLASSIFICATION	P4-B032;P4-B032;P2-06-FLT-S07;P3-07-§7	P5-C032	P5-C032	SHARED	crates/bcsp-query	P5-T-C032-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0033	CAPABILITY_CLASSIFICATION	P4-B033;P4-B033;P2-06-FLT-S08;P3-07-§7	P5-C033	P5-C033	SHARED	crates/bcsp-query	P5-T-C033-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0034	CAPABILITY_CLASSIFICATION	P4-B034;P4-B034;P2-06-FLT-S09;P3-07-§7	P5-C034	P5-C034	SHARED	crates/bcsp-query	P5-T-C034-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0035	CAPABILITY_CLASSIFICATION	P4-B035;P4-B035;P2-06-FLT-S10;P3-07-§7	P5-C035	P5-C035	SHARED	crates/bcsp-query	P5-T-C035-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0036	CAPABILITY_CLASSIFICATION	P4-B036;P4-B036;P2-06-FLT-S11;P3-07-§7	P5-C036	P5-C036	SHARED	crates/bcsp-query	P5-T-C036-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0037	CAPABILITY_CLASSIFICATION	P4-B037;P4-B037;P2-06-§6;P3-07-§9	P5-C037	P5-C037	SHARED	web/shared	P5-T-C037-SHARED	P7-SHARED-UI;P7-SHARED-QUERY	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0038	CAPABILITY_CLASSIFICATION	P4-B038;P4-B038;P2-06-§6;P3-07-§8-§9	P5-C038	P5-C038	SHARED	web/shared	P5-T-C038-SHARED	P7-SHARED-UI;P7-SHARED-QUERY	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0039	CAPABILITY_CLASSIFICATION	P4-B039;P4-B039;P2-06-§7.1	P5-C039	P5-C039	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C039-PUBLIC;P5-T-C039-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-WATCH	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0040	CAPABILITY_CLASSIFICATION	P4-B040;P4-B040;P2-06-§8;P3-07-§12.3	P5-C040	P5-C040	SHARED	crates/bcsp-watch	P5-T-C040-SHARED	P7-SHARED-WATCH	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0041	CAPABILITY_CLASSIFICATION	P4-B041;P4-B041;P2-06-§8	P5-C041	P5-C041	SHARED	crates/bcsp-watch	P5-T-C041-SHARED	P7-SHARED-WATCH;P7-PUBLIC-RUNTIME	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0042	CAPABILITY_CLASSIFICATION	P4-B042;P4-B042;P2-06-§8;P3-07-§12.3	P5-C042	P5-C042	SHARED	crates/bcsp-watch	P5-T-C042-SHARED	P7-SHARED-WATCH;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0043	CAPABILITY_CLASSIFICATION	P4-B043;P4-B043;P2-06-§9.2	P5-C043	P5-C043	SHARED	web/shared	P5-T-C043-SHARED	P7-SHARED-UI;P7-SHARED-WATCH	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0044	CAPABILITY_CLASSIFICATION	P4-B044;P4-B044;P2-06-§9-§10;P3-23a-§7	P5-C044	P5-C044	SHARED	web/shared	P5-T-C044-SHARED	P7-SHARED-UI;P7-SHARED-WATCH	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0045	CAPABILITY_CLASSIFICATION	P4-B045;P4-B045;P2-06-§10.3;P3-23a-§7	P5-C045	P5-C045	SHARED	web/shared	P5-T-C045-SHARED	P7-SHARED-UI;P7-SHARED-WATCH	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0046	CAPABILITY_CLASSIFICATION	P4-B046;P4-B046;P2-06-§10;P3-23a-§8	P5-C046	P5-C046	SHARED	web/shared	P5-T-C046-SHARED	P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0047	CAPABILITY_CLASSIFICATION	P4-B047;P4-B047;P2-06-§7.1	P5-C047	P5-C047	PUBLIC_ONLY	apps/bcsp-public/session_adapter	P5-T-C047-PUBLIC;P5-T-C047-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-UI	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0048	CAPABILITY_CLASSIFICATION	P4-B048;P4-B048;P2-06-§12;P3-07-§9.3	P5-C048	P5-C048	SHARED	web/shared/i18n	P5-T-C048-SHARED	P7-SHARED-I18N;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0049	CAPABILITY_CLASSIFICATION	P4-B049;P4-B049;P2-06-§7.1;§12	P5-C049	P5-C049	PUBLIC_ONLY	apps/bcsp-public/session_adapter	P5-T-C049-PUBLIC;P5-T-C049-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-I18N	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0050	CAPABILITY_CLASSIFICATION	P4-B050;P4-B050;P2-06-§7.1	P5-C050	P5-C050	PUBLIC_ONLY	apps/bcsp-public/session_adapter	P5-T-C050-PUBLIC;P5-T-C050-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-UI	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0051	CAPABILITY_CLASSIFICATION	P4-B051;P4-B051;workflow-§13;P2-06-§7.1	P5-C051	P5-C051	PUBLIC_ONLY	apps/bcsp-public/session_adapter	P5-T-C051-PUBLIC;P5-T-C051-NOLOCAL	P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0052	CAPABILITY_CLASSIFICATION	P4-B052;P4-B052;P3-07-§8	P5-C052	P5-C052	SHARED	crates/bcsp-domain	P5-T-C052-SHARED	P7-SHARED-DOMAIN;P7-PUBLIC-RUNTIME	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0053	CAPABILITY_CLASSIFICATION	P4-B053;P4-B053;P2-03-CAP-I03;P3-07-§9.2	P5-C053	P5-C053	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C053-PUBLIC;P5-T-C053-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0054	CAPABILITY_CLASSIFICATION	P4-B054;P4-B054;P2-03-CAP-I04;P3-23a-§6	P5-C054	P5-C054	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C054-PUBLIC;P5-T-C054-NOLOCAL	P7-PUBLIC-OPS	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0055	CAPABILITY_CLASSIFICATION	P4-B055;P4-B055;P3-07-§4.2;workflow-§13	P5-C055	P5-C055	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C055-PUBLIC;P5-T-C055-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0056	CAPABILITY_CLASSIFICATION	P4-B056;P4-B056;workflow-§13	P5-C056	P5-C056	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C056-PUBLIC;P5-T-C056-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-PACKAGE	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0057	CAPABILITY_CLASSIFICATION	P4-B057;P4-B057;workflow-§13;P3-07-§5;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P5-C057	P5-C057	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter:/var/lib/bcsp/operational-only	P5-T-C057-PUBLIC;P5-T-C057-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0058	CAPABILITY_CLASSIFICATION	P4-B058;P4-B058;workflow-§13	P5-C058	P5-C058	PUBLIC_ONLY	deploy/public	P5-T-C058-PUBLIC;P5-T-C058-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0059	CAPABILITY_CLASSIFICATION	P4-B059;P4-B059;workflow-§13	P5-C059	P5-C059	PUBLIC_ONLY	deploy/public	P5-T-C059-PUBLIC;P5-T-C059-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0060	CAPABILITY_CLASSIFICATION	P4-B060;P4-B060;workflow-§13	P5-C060	P5-C060	PUBLIC_ONLY	deploy/public	P5-T-C060-PUBLIC;P5-T-C060-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0061	CAPABILITY_CLASSIFICATION	P4-B061;P4-B061;P2-03-CAP-017;workflow-§13	P5-C061	P5-C061	SHARED	web/shared	P5-T-C061-SHARED	P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0062	CAPABILITY_CLASSIFICATION	P4-B062;P4-B062;P3-23a-§8	P5-C062	P5-C062	SHARED	crates/bcsp-open	P5-T-C062-SHARED	P7-SHARED-OPEN;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0063	CAPABILITY_CLASSIFICATION	P4-B063;P4-B063;P2-06-§11;workflow-§13	P5-C063	P5-C063	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C063-PUBLIC;P5-T-C063-NOLOCAL	P7-PUBLIC-RUNTIME	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0064	CAPABILITY_CLASSIFICATION	P4-B064;P4-B064;P3-07-§13;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P5-C064	P5-C064	LOCAL_ONLY	deploy/local:resolved-executable-root	P5-T-C064-LOCAL;P5-T-C064-NOPUBLIC	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0065	CAPABILITY_CLASSIFICATION	P4-B065;P4-B065;P3-07-§5;§11;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P5-C065	P5-C065	LOCAL_ONLY	apps/bcsp-local/state_runtime_adapter:data/rbcsp.sqlite/personal-domain	P5-T-C065-LOCAL;P5-T-C065-NOPUBLIC	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0066	CAPABILITY_CLASSIFICATION	P4-B066;P4-B066;P3-07-§10	P5-C066	P5-C066	LOCAL_ONLY	apps/bcsp-local/saved_views_adapter	P5-T-C066-LOCAL;P5-T-C066-NOPUBLIC	P7-LOCAL-SAVED-VIEWS;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0067	CAPABILITY_CLASSIFICATION	P4-B067;P4-B067;P3-07-§11.2	P5-C067	P5-C067	LOCAL_ONLY	apps/bcsp-local/state_runtime_adapter	P5-T-C067-LOCAL;P5-T-C067-NOPUBLIC	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0068	CAPABILITY_CLASSIFICATION	P4-B068;P4-B068;P3-07-§11.3	P5-C068	P5-C068	LOCAL_ONLY	apps/bcsp-local/reset_adapter	P5-T-C068-LOCAL;P5-T-C068-NOPUBLIC	P7-LOCAL-RESET;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0069	CAPABILITY_CLASSIFICATION	P4-B069;P4-B069;P3-07-§12.1-§12.2	P5-C069	P5-C069	LOCAL_ONLY	apps/bcsp-local/state_runtime_adapter	P5-T-C069-LOCAL;P5-T-C069-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0070	CAPABILITY_CLASSIFICATION	P4-B070;P4-B070;P3-23a-§6	P5-C070	P5-C070	LOCAL_ONLY	apps/bcsp-local/state_runtime_adapter	P5-T-C070-LOCAL;P5-T-C070-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0071	CAPABILITY_CLASSIFICATION	P4-B071;P4-B071;P3-07-§8;§12	P5-C071	P5-C071	LOCAL_ONLY	apps/bcsp-local/state_runtime_adapter	P5-T-C071-LOCAL;P5-T-C071-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0072	CAPABILITY_CLASSIFICATION	P4-B072;P4-B072;P3-07-§13;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P5-C072	P5-C072	LOCAL_ONLY	deploy/local:zero-data-payload	P5-T-C072-LOCAL;P5-T-C072-NOPUBLIC	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P6-INTEGRATE-LOCAL_ONLY	MAPPED_TO_P7
P5-X0073	CAPABILITY_CLASSIFICATION	P4-B073;P4-B073;P2-04-ONLY-009-010	P5-C073	P5-C073	EXCLUDED	NONE	P5-T-C073-NOLOCAL;P5-T-C073-NOPUBLIC	P7-SHARED-BUILD-GUARD;P7-LOCAL-PACKAGE;P7-PUBLIC-PACKAGE	P6-INTEGRATE-EXCLUDED	MAPPED_TO_P7
P5-X0074	CAPABILITY_CLASSIFICATION	P4-B074;P4-B074;workflow-§17.4;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P5-C074	P5-C074	PUBLIC_ONLY	deploy/public:/var/lib/bcsp/operational-only	P5-T-C074-PUBLIC;P5-T-C074-NOLOCAL	P7-PUBLIC-PACKAGE	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0075	CAPABILITY_CLASSIFICATION	P4-B075;P4-B075;workflow-§17.4;§18	P5-C075	P5-C075	PUBLIC_ONLY	deploy/public	P5-T-C075-PUBLIC;P5-T-C075-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0076	CAPABILITY_CLASSIFICATION	P4-B076;P4-B076;P2-04-ONLY-018-019;P3-09-§5;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	P5-C076	P5-C076	EXCLUDED	NONE	P5-T-C076-NOLOCAL;P5-T-C076-NOPUBLIC	P7-SHARED-BUILD-GUARD;P7-LOCAL-PACKAGE;P7-PUBLIC-PACKAGE	P6-INTEGRATE-EXCLUDED	MAPPED_TO_P7
P5-X0077	TEST_CONTRACT	04:P5-V001	P5-T-C001-SHARED	P5-C001	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C001-SHARED	P7-SHARED-DOMAIN	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0078	TEST_CONTRACT	04:P5-V002	P5-T-C002-SHARED	P5-C002	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C002-SHARED	P7-SHARED-CATALOG	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0079	TEST_CONTRACT	04:P5-V003	P5-T-C003-SHARED	P5-C003	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C003-SHARED	P7-SHARED-CATALOG	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0080	TEST_CONTRACT	04:P5-V004	P5-T-C004-SHARED	P5-C004	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C004-SHARED	P7-SHARED-DOMAIN	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0081	TEST_CONTRACT	04:P5-V005	P5-T-C005-SHARED	P5-C005	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C005-SHARED	P7-SHARED-CATALOG	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0082	TEST_CONTRACT	04:P5-V006	P5-T-C006-PUBLIC	P5-C006	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C006-PUBLIC	P7-PUBLIC-RUNTIME	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0083	TEST_CONTRACT	04:P5-V007	P5-T-C006-NOLOCAL	P5-C006	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C006-NOLOCAL	P7-PUBLIC-RUNTIME	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0084	TEST_CONTRACT	04:P5-V008	P5-T-C007-SHARED	P5-C007	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C007-SHARED	P7-SHARED-CATALOG	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0085	TEST_CONTRACT	04:P5-V009	P5-T-C008-SHARED	P5-C008	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C008-SHARED	P7-SHARED-OPEN	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0086	TEST_CONTRACT	04:P5-V010	P5-T-C009-PUBLIC	P5-C009	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C009-PUBLIC	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
