trace_id	source_kind	source_id	source_path	source_anchor	source_sha256	source_summary	p2_decision	p3_catalog_class	p3_evidence_refs	p3_plan_target	open_boundary	trace_status
P3T-CAP-CAP-011	CAP	CAP-011	project-governance/current/p2/03-capability-all-matrix.md	line:26	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	WebUI发通用声音；选择一声或持续闹钟，并在UI辨认section	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv;06a-section-identity-summary.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-LOCAL-IMPLEMENTATION|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-012	CAP	CAP-012	project-governance/current/p2/03-capability-all-matrix.md	line:27	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	ONE_SHOT在section持续Open时按每次观察发声至cap；CONTINUOUS同episode确认后不重响	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;06a-section-identity-summary.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-LOCAL-IMPLEMENTATION|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-013	CAP	CAP-013	project-governance/current/p2/03-capability-all-matrix.md	line:28	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	查看可靠Open/Closed、每次观察时间和拉取统计	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06a-section-identity-summary.tsv;06b-filter-source-profile.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-CATALOG-DATA|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-014	CAP	CAP-014	project-governance/current/p2/03-capability-all-matrix.md	line:29	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	至少`en-US`与`zh-CN`普通用户体验一致	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-015	CAP	CAP-015	project-governance/current/p2/03-capability-all-matrix.md	line:30	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	本地使用不泄露secret、PII、内部path	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-016	CAP	CAP-016	project-governance/current/p2/03-capability-all-matrix.md	line:31	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	数据库可升级、可恢复且不因刷新损坏其他scope	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;06b-filter-source-profile.tsv	P3-CATALOG-DATA	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-017	CAP	CAP-017	project-governance/current/p2/03-capability-all-matrix.md	line:32	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	正式桌面/响应式UI完整可用	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-018	CAP	CAP-018	project-governance/current/p2/03-capability-all-matrix.md	line:33	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	获得干净、可重复的本地一键包	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-019	CAP	CAP-019	project-governance/current/p2/03-capability-all-matrix.md	line:34	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	本地跨启动保留非active设置与Open episode/watch history，并可恢复公网默认	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-LOCAL-IMPLEMENTATION|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-020	CAP	CAP-020	project-governance/current/p2/03-capability-all-matrix.md	line:35	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	本地用户保存、比较和复用复杂筛选组合，且未来新增字段可自动纳入；公网不提供	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-I01	CAP	CAP-I01	project-governance/current/p2/03-capability-all-matrix.md	line:41	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	Rutgers client错误分类、timeout、retry/backoff	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06b-filter-source-profile.tsv	P3-INTERNAL-QUALITY	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-I02	CAP	CAP-I02	project-governance/current/p2/03-capability-all-matrix.md	line:42	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	字段normalization与稳定hash	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;06a-section-identity-summary.tsv;06b-filter-source-profile.tsv	P3-INTERNAL-QUALITY	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-I03	CAP	CAP-I03	project-governance/current/p2/03-capability-all-matrix.md	line:43	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	health/readiness	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;06b-filter-source-profile.tsv	P3-INTERNAL-QUALITY	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-I04	CAP	CAP-I04	project-governance/current/p2/03-capability-all-matrix.md	line:44	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	request/poller metrics与redacted logs	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;06b-filter-source-profile.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-INTERNAL-QUALITY|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-I05	CAP	CAP-I05	project-governance/current/p2/03-capability-all-matrix.md	line:45	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	deterministic test入口	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;06b-filter-source-profile.tsv	P3-INTERNAL-QUALITY	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-I06	CAP	CAP-I06	project-governance/current/p2/03-capability-all-matrix.md	line:46	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	dependency consumer closure	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06b-filter-source-profile.tsv	P3-INTERNAL-QUALITY	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-I07	CAP	CAP-I07	project-governance/current/p2/03-capability-all-matrix.md	line:47	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	package/runtime residue guard	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06b-filter-source-profile.tsv	P3-INTERNAL-QUALITY	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-I08	CAP	CAP-I08	project-governance/current/p2/03-capability-all-matrix.md	line:48	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	真实Rutgers数据证据门	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05a-delivery-raw-values.tsv;06b-filter-source-profile.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-INTERNAL-QUALITY|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-ONLY-ONLY-001	ONLY	ONLY-001	project-governance/current/p2/04-only-closure-matrix.md	line:19	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	`MailSettingsPanel.*`；App挂载；Center/Manager/SubscribeButton email branches；mail i18n/CSS	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-002	ONLY	ONLY-002	project-governance/current/p2/04-only-closure-matrix.md	line:20	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	Center/Manager/SubscribeButton的DB active/contact/token语义	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;06a-section-identity-summary.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-ONLY-CLOSURE|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-ONLY-ONLY-003	ONLY	ONLY-003	project-governance/current/p2/04-only-closure-matrix.md	line:21	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	LocalSound hook的7s poll/polling文案	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-ONLY-CLOSURE|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-ONLY-ONLY-004	ONLY	ONLY-004	project-governance/current/p2/04-only-closure-matrix.md	line:22	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	旧UI批次一次tone	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;06a-section-identity-summary.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-ONLY-CLOSURE|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-ONLY-ONLY-005	ONLY	ONLY-005	project-governance/current/p2/04-only-closure-matrix.md	line:23	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	`SchedulePreview.*`、dev mock/playground、calendar i18n	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-006	ONLY	ONLY-006	project-governance/current/p2/04-only-closure-matrix.md	line:24	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	无专属React UI	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-007	ONLY	ONLY-007	project-governance/current/p2/04-only-closure-matrix.md	line:25	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	当前树允许范围零UI	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-008	ONLY	ONLY-008	project-governance/current/p2/04-only-closure-matrix.md	line:26	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	零	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-009	ONLY	ONLY-009	project-governance/current/p2/04-only-closure-matrix.md	line:27	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	当前Vite dev依赖launcher	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-010	ONLY	ONLY-010	project-governance/current/p2/04-only-closure-matrix.md	line:28	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	浏览器连接5174 dev	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
P3T-ONLY-ONLY-011	ONLY	ONLY-011	project-governance/current/p2/04-only-closure-matrix.md	line:29	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	archive-only toggle；当前hook cache无UI	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-ONLY-CLOSURE|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-ONLY-ONLY-012	ONLY	ONLY-012	project-governance/current/p2/04-only-closure-matrix.md	line:30	5220D912228BCB636F179A8C3FE4E3B1A32E1603CED90ED10FF30C7917C34DDD	docs候选	P2_APPROVED_BASELINE	ONLY_CLOSURE	00-p3-charter-and-preflight.md	P3-ONLY-CLOSURE	NOT_APPLICABLE	MAPPED_ONLY_GUARD
