trace_id	source_kind	source_ref	requirement_or_test	disposition	p4_consumer	p7_task_id	verification_gate
P4-X0056	BASELINE_DELTA_TEST	P4-B048	P4-T-I18N-KEY-PARITY	INHERIT_SHARED	React i18n; API error keys; docs	P7-SHARED-I18N;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0057	BASELINE_DELTA_TEST	P4-B049	P4-T-PUBLIC-LOCALE-EPHEMERAL	PUBLIC_MODIFY	public session bootstrap; React i18n	P7-PUBLIC-SESSION;P7-SHARED-I18N	P4-GATE-PUBLIC_MODIFY
P4-X0058	BASELINE_DELTA_TEST	P4-B050	P4-T-PUBLIC-DEFAULT-STATE	PUBLIC_MODIFY	public session adapter; filter store; audio UI	P7-PUBLIC-SESSION;P7-SHARED-UI	P4-GATE-PUBLIC_MODIFY
P4-X0059	BASELINE_DELTA_TEST	P4-B051	P4-T-PUBLIC-SESSION-NEW-PAGE	PUBLIC_MODIFY	public bootstrap; HTTP session boundary; WebSocket	P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_MODIFY
P4-X0060	BASELINE_DELTA_TEST	P4-B052	P4-T-PUBLIC-API-CONTRACT	INHERIT_SHARED	public HTTP server; React client; tests	P7-SHARED-DOMAIN;P7-PUBLIC-RUNTIME	P4-GATE-INHERIT_SHARED
P4-X0061	BASELINE_DELTA_TEST	P4-B053	P4-T-PUBLIC-READINESS	PUBLIC_MODIFY	public runtime; systemd; monitoring; status UI	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P4-GATE-PUBLIC_MODIFY
P4-X0062	BASELINE_DELTA_TEST	P4-B054	P4-T-PUBLIC-OBSERVABILITY	PUBLIC_MODIFY	tracing; metrics; operations	P7-PUBLIC-OPS	P4-GATE-PUBLIC_MODIFY
P4-X0063	BASELINE_DELTA_TEST	P4-B055	P4-T-PUBLIC-SECURITY-BOUNDARY	PUBLIC_MODIFY	public entrypoint; reverse proxy; systemd	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P4-GATE-PUBLIC_MODIFY
P4-X0064	BASELINE_DELTA_TEST	P4-B056	P4-T-LINUX-ENTRYPOINT	PUBLIC_MODIFY	public entry crate; Linux artifact	P7-PUBLIC-RUNTIME;P7-PUBLIC-PACKAGE	P4-GATE-PUBLIC_MODIFY
P4-X0065	BASELINE_DELTA_TEST	P4-B057	P4-T-PUBLIC-STORAGE-BOUNDARY	PUBLIC_MODIFY	public storage adapter; backup tools; runtime	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P4-GATE-PUBLIC_MODIFY
P4-X0066	BASELINE_DELTA_TEST	P4-B058	P4-T-SYSTEMD-PLAN	PUBLIC_MODIFY	systemd unit; install and rollback docs	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-PUBLIC_MODIFY
P4-X0067	BASELINE_DELTA_TEST	P4-B059	P4-T-CADDY-HTTPS-PLAN	PUBLIC_MODIFY	Caddy config template; deployment docs	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-PUBLIC_MODIFY
P4-X0068	BASELINE_DELTA_TEST	P4-B060	P4-T-PUBLIC-RECOVERY-PLAN	PUBLIC_MODIFY	operations scripts and docs; release validation	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-PUBLIC_MODIFY
P4-X0069	BASELINE_DELTA_TEST	P4-B061	P4-T-RESPONSIVE-A11Y	INHERIT_SHARED	React UI; browser tests; visual tests	P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0070	BASELINE_DELTA_TEST	P4-B062	P4-T-LATENCY-TRUTH	INHERIT_SHARED	status UI; alert UI; docs	P7-SHARED-OPEN;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0071	BASELINE_DELTA_TEST	P4-B063	P4-T-NO-BROWSER-ORIGIN-AMPLIFICATION	PUBLIC_MODIFY	public HTTP adapter; scheduler boundary	P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_MODIFY
P4-X0072	BASELINE_DELTA_TEST	P4-B064	P4-T-EXCLUDE-WINDOWS-LAUNCHER	PUBLIC_EXCLUDE	public build graph; package manifest	P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0073	BASELINE_DELTA_TEST	P4-B065	P4-T-EXCLUDE-LOCAL-USER-DB	PUBLIC_EXCLUDE	public storage graph; API; package	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0074	BASELINE_DELTA_TEST	P4-B066	P4-T-EXCLUDE-SAVED-VIEWS	PUBLIC_EXCLUDE	public feature graph; React build; API; artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0075	BASELINE_DELTA_TEST	P4-B067	P4-T-EXCLUDE-PERSISTENT-HISTORY	PUBLIC_EXCLUDE	public storage; API; UI; artifact	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0076	BASELINE_DELTA_TEST	P4-B068	P4-T-EXCLUDE-LOCAL-RESET	PUBLIC_EXCLUDE	public API; settings UI; route and bundle audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0077	BASELINE_DELTA_TEST	P4-B069	P4-T-EXCLUDE-USER-INTERVAL-CONFIG	PUBLIC_EXCLUDE	public UI; API; config schema	P7-PUBLIC-ZERO-SURFACE;P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_EXCLUDE
P4-X0078	BASELINE_DELTA_TEST	P4-B070	P4-T-EXCLUDE-LOCAL-RUN-COUNTERS	PUBLIC_EXCLUDE	status API; metrics UI	P7-PUBLIC-ZERO-SURFACE;P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_EXCLUDE
P4-X0079	BASELINE_DELTA_TEST	P4-B071	P4-T-EXCLUDE-MANUAL-UPSTREAM-REFRESH	PUBLIC_EXCLUDE	public API allowlist; React UI; route audit	P7-PUBLIC-ZERO-SURFACE;P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_EXCLUDE
P4-X0080	BASELINE_DELTA_TEST	P4-B072	P4-T-EXCLUDE-LOCAL-PACKAGE-ASSETS	PUBLIC_EXCLUDE	public package allowlist; docs audit	P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0081	BASELINE_DELTA_TEST	P4-B073	P4-T-EXCLUDE-NODE-RUNTIME	PUBLIC_EXCLUDE	public dependency graph; package audit	P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0082	BASELINE_DELTA_TEST	P4-B074	P4-T-PUBLIC-PACKAGE-MANIFEST	PUBLIC_MODIFY	public build and artifact manifest	P7-PUBLIC-PACKAGE	P4-GATE-PUBLIC_MODIFY
P4-X0083	BASELINE_DELTA_TEST	P4-B075	P4-T-NO-PRODUCTION-MUTATION	PUBLIC_MODIFY	governance gate; operations docs; release workflow	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-PUBLIC_MODIFY
P4-X0084	BASELINE_DELTA_TEST	P4-B076	P4-T-PUBLIC-ARTIFACT-HYGIENE	PUBLIC_EXCLUDE	public artifact builder; secret scan; manifest diff	P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC_EXCLUDE
P4-X0085	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-SOURCE	P4-Z-SAVED_VIEWS-SOURCE	PUBLIC_ZERO_SURFACE	SAVED_VIEWS SOURCE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0086	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-DOM	P4-Z-SAVED_VIEWS-DOM	PUBLIC_ZERO_SURFACE	SAVED_VIEWS DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0087	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-ROUTE	P4-Z-SAVED_VIEWS-ROUTE	PUBLIC_ZERO_SURFACE	SAVED_VIEWS ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0088	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-API	P4-Z-SAVED_VIEWS-API	PUBLIC_ZERO_SURFACE	SAVED_VIEWS API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0089	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-STORAGE	P4-Z-SAVED_VIEWS-STORAGE	PUBLIC_ZERO_SURFACE	SAVED_VIEWS STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0090	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-I18N	P4-Z-SAVED_VIEWS-I18N	PUBLIC_ZERO_SURFACE	SAVED_VIEWS I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0091	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-BUNDLE	P4-Z-SAVED_VIEWS-BUNDLE	PUBLIC_ZERO_SURFACE	SAVED_VIEWS BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0092	PUBLIC_ZERO_SURFACE_TEST	P4-D-SAVED_VIEWS-PACKAGE	P4-Z-SAVED_VIEWS-PACKAGE	PUBLIC_ZERO_SURFACE	SAVED_VIEWS PACKAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0093	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-SOURCE	P4-Z-PERSISTENT_PREFS-SOURCE	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS SOURCE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0094	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-DOM	P4-Z-PERSISTENT_PREFS-DOM	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0095	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-ROUTE	P4-Z-PERSISTENT_PREFS-ROUTE	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0096	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-API	P4-Z-PERSISTENT_PREFS-API	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0097	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-STORAGE	P4-Z-PERSISTENT_PREFS-STORAGE	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0098	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-I18N	P4-Z-PERSISTENT_PREFS-I18N	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0099	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-BUNDLE	P4-Z-PERSISTENT_PREFS-BUNDLE	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0100	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_PREFS-PACKAGE	P4-Z-PERSISTENT_PREFS-PACKAGE	PUBLIC_ZERO_SURFACE	PERSISTENT_PREFS PACKAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0101	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-SOURCE	P4-Z-PERSISTENT_HISTORY-SOURCE	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY SOURCE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0102	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-DOM	P4-Z-PERSISTENT_HISTORY-DOM	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0103	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-ROUTE	P4-Z-PERSISTENT_HISTORY-ROUTE	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0104	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-API	P4-Z-PERSISTENT_HISTORY-API	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0105	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-STORAGE	P4-Z-PERSISTENT_HISTORY-STORAGE	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0106	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-I18N	P4-Z-PERSISTENT_HISTORY-I18N	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0107	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_HISTORY-BUNDLE	P4-Z-PERSISTENT_HISTORY-BUNDLE	PUBLIC_ZERO_SURFACE	PERSISTENT_HISTORY BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
