row_id	path	bytes	lines	sha256	git_state	worktree_state	type	runtime_package_reachability	capability	disposition	ownership	evidence_id	next_action
F018	api/src/types/fastify.d.ts	153	7	80C1B14D0C072E3C1D9E242E898EAD5C8B04DA19D8107BC66CA5EB890F8C3F1C	tracked	clean	ts	not-runtime|must-not-package	INTERNAL_ONLY	REMOVE	INTERNAL_TOOLING	P2-PATH	remove-after-rust-backend-replaces-fastify-container-typing
F019	api/tests/admin_mail_config.test.ts	7004	177	D5C93388C6AE01687C4AEA849600F736DCC69519AD2892F6B66C66FFE7A869EB	tracked	clean	ts	registered-mail-runtime|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-mail-admin-route-tests-and-config-surface
F020	api/tests/course_search.test.ts	12775	451	70A8048473735F15A8BAA30A3D062DFD16801452BF3E5FF5CD8345B32EDAFED1	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F021	api/tests/health.test.ts	3771	108	FB8FB6EB2A280270C09150110B9A8845A80B70C743B884963D5E51A733727F4D	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F022	api/tests/notifications.local.test.ts	11300	369	2A32C566B6CBE623FD9A172A0F171F77C5B1B60068DF5E379664CAEABB924352	tracked	clean	ts	registered-legacy-watch-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-section-contract-and-rewrite-as-live-websocket-watch
F023	api/tests/subscriptions.test.ts	15846	526	43A3046EDD471DA0F016812C3D3336A5AFF6AE025A984D980AEE81D414391DFD	tracked	clean	ts	registered-legacy-watch-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-section-contract-and-rewrite-as-live-websocket-watch
F024	configs/fetch_pipeline.example.json	2278	105	5A2D8B992C724F6C9B22E8F7BD2FEB1B287A168CA1B4610FF46F08FC357058FB	tracked	clean	json	legacy-ingest-config|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	port-only-proven-settings-remove-fake-switches-set-local-10m-default
F025	configs/fetch_pipeline.schema.json	5316	168	66BD4B948EF8415323F12C4F082E81AA58AF3A6C17B179D91A859F600784631E	tracked	clean	json	legacy-ingest-config|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	port-only-proven-settings-remove-fake-switches-set-local-10m-default
F026	configs/mail_sender.example.json	2467	103	477EC89B7D9C3956A41737BCD59F3FAB1AED93EDF21FC2749766690BBE5F5BCF	tracked	clean	json	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F027	configs/templates/email/open-seat/en-US.html	278	4	4C1957ED96993F65FB0A0D6E3F808D375E79384D0AE3D85A3C1693783339BDDF	tracked	clean	html	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F028	configs/templates/email/open-seat/en-US.txt	122	3	CD7884868A3437CDCDD5A7533A19A0A56FC37C05D10BA7EDE9206B2A0940A418	tracked	clean	txt	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F029	configs/templates/email/open-seat/zh-CN.html	67	1	9E83CF018DEDE3561ABDBEF59762777A9F32F3B4D3DF3BF6D06C66A3250A06CD	tracked	clean	html	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F030	configs/templates/email/open-seat/zh-CN.txt	60	1	A3B47B7CA88BAF72F9BA40585CD62DF6576C878A581CF0FA57CF0464DB354EE4	tracked	clean	txt	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F031	configs/templates/email/verification/en-US.html	200	4	03A264A634FC1A6EE2FF864563D7506439DD395A66EB184C3DADE0786588B6A7	tracked	clean	html	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F032	configs/templates/email/verification/en-US.txt	141	4	A29FFBEB08BE1B0E3A4437C83496D565865E2EC80869B0F63D8A200FE603956A	tracked	clean	txt	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F033	configs/templates/email/verification/zh-CN.html	202	4	568F0E24BE6B873E45F7541E330E808FEB9F7DFF69964590B8C44A57D82AD8ED	tracked	clean	html	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F034	configs/templates/email/verification/zh-CN.txt	162	4	57FF87E29E80A1F88080A121D23C1DDD984FCDB9B29FB81DB779522DDB94D56F	tracked	clean	txt	mail-config-or-asset|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-product-repository-surface-and-all-packages
F035	data/migrations/001_init_schema.sql	8704	277	9D834DD799FB3B9D71C8D18A77D5C8239EE10D6B217EB684B60DF103CE889EF4	tracked	clean	sql	database-schema|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	port-course-section-status-data-remove-persistent-personal-watch-and-mail-fanout
F036	data/migrations/002_relax_section_index_scope.sql	3245	129	42DDA94BA4C5BFD34CEF8182B3B354ED66B1D0DB937BB1672A4A78663A81A287	tracked	clean	sql	database-migration|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-as-migration-evidence-with-safe-composite-section-key
F037	data/migrations/003_open_events.sql	1904	48	9BC4A9818C3174928750A861BD90AB766BBA8FEC36C4464AC32CB391772918CC	tracked	clean	sql	database-schema|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	port-course-section-status-data-remove-persistent-personal-watch-and-mail-fanout
F038	data/migrations/004_course_campus_locations.sql	1450	29	67AC4042A084E39EC94E3969AA2A75C062EE0E51698C2B8A15186D3EAE019A7D	tracked	clean	sql	database-migration|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-as-migration-evidence-with-safe-composite-section-key
F039	data/schema.sql	11124	343	D9204D58FF006EB11BAF4E50BA32663456B37A155E9E2BA542C4173495ECAA00	tracked	clean	sql	database-schema|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	port-course-section-status-data-remove-persistent-personal-watch-and-mail-fanout
F040	docs/data_load_runbook.md	6619	73	EF42C8F6324926D7F97FC992CD2AA315B43EF0832CFCC970B1371B9D8CF6E565	tracked	clean	md	not-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-drift-with-approved-contract-and-rust-data-lifecycle
F041	docs/data_refresh_strategy.md	8648	86	25DA9C273DEAFB0F3E37F8D2C90D64618FD02F40ED23810B7CD9965B8B9C2698	tracked	clean	md	not-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-drift-with-approved-contract-and-rust-data-lifecycle
F042	docs/deployment_playbook.md	7646	143	7CEE85256A2C91E1894D48046FBE0EE43403111DE6289D40A28B847C3297A87B	tracked	clean	md	not-runtime|must-not-package	MIXED_SEE_02	SPLIT	PUBLIC_DELTA	P2-PATH	carry-linux-production-lessons-to-p4-remove-from-local-user-package
F043	docs/fetch_pipeline.md	10521	97	2A22C8AA819B32C0DF4AF4D0F716C866BA24053310AFCFCEAFD5C5F96D370434	tracked	clean	md	not-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-drift-with-approved-contract-and-rust-data-lifecycle
F044	docs/i18n_key_map.md	22386	246	B8559822AC62592463BCFE99B38B3DB02D76D7244C4FEAFD21741382FB9656AE	tracked	clean	md	not-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-drift-with-approved-contract-and-rust-data-lifecycle
F045	docs/local_data_model.md	23178	356	9C3E67015679564DC379A69840F9D4B1EFC5A3E4D0E7E98BD74B88DB1A27A058	tracked	clean	md	not-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-drift-with-approved-contract-and-rust-data-lifecycle
F046	docs/mail_sender_contract.md	8382	114	E6E7AF65BF9B6CA069D3C20292E5C5E93D2BA8C3C18BCD8E0D86B0891C13CF1D	tracked	clean	md	not-runtime|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-docs-and-all-packages
F047	docs/mail_sender_usage.md	3280	45	9560D6C62732372825F66F0CA390BF555150A7C5F5AD7E6898788D32D4A60A10	tracked	clean	md	not-runtime|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-docs-and-all-packages
F048	docs/mail_worker_contract.md	9896	167	7C0DB1EF6CFF66538205DF22D1D90AA2943DCCA19D9DB6E2EB05D463C07895C0	tracked	clean	md	not-runtime|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-from-current-docs-and-all-packages
F049	docs/notify_runbook.md	6670	58	8AE926E586A8485F335D7924747C81523186B9362BAB17BB7BEEA288746E2D2E	tracked	clean	md	not-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	rewrite-live-watch-every-open-toast-max-and-sound-contract-remove-mail-persistence
F050	docs/oneclick.md	2044	24	0407DF46AA461C4BDB20373144202E2042C22039FF706A998BA6720633A59B54	tracked	clean	md	not-runtime|local-doc	REQUIRED	REWRITE	LOCAL_ONLY	P2-PATH	rewrite-for-clean-windows-no-node-bcsp-local-exe
F051	docs/open_event_spec.md	6923	61	B0476ADCC3F8724B2CC7834CB898E0826CBF07E015F2DAC594D005774E77247D	tracked	clean	md	not-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	rewrite-live-watch-every-open-toast-max-and-sound-contract-remove-mail-persistence
F052	docs/query_api_contract.md	15420	267	2EBC2E0794B7BD5707C48D5E7B683C958B31D7BEE752867D0171D94C8CAFCF44	tracked	clean	md	not-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-drift-with-approved-contract-and-rust-data-lifecycle
F053	docs/quickstart.md	3285	47	71AF02AF0A45BDC29713F699021FA492B52C96506733B114269D4954F0756144	tracked	clean	md	not-runtime|local-doc	REQUIRED	REWRITE	LOCAL_ONLY	P2-PATH	rewrite-for-clean-windows-no-node-bcsp-local-exe
F054	docs/soc_api_notes.md	8737	104	4F525F536DE62A58222060E8293E004CB2F308F8CCB7BA249BA3E1DA4E9B1BAC	tracked	clean	md	not-runtime|must-not-package	INTERNAL_ONLY	OUT_OF_SCOPE	HISTORICAL_EVIDENCE	P2-PATH	retain-as-evidence-only
F055	docs/soc_field_matrix.csv	9781	79	E4CBFB2B1E5F5CF9FCF66C37D311556863DEC86001742193091A4A378DB38D35	tracked	clean	csv	not-runtime|must-not-package	INTERNAL_ONLY	REUSE_WITH_FIXES	HISTORICAL_EVIDENCE	P2-PATH	retain-as-old-measurement-evidence-revalidate-before-runtime-policy
F056	docs/soc_rate_limit.courses_stress.json	1276	61	B62D9C6F254EAF1E7A04BF24486AE1DE05250C39769062160FC337ACF89DC7FB	tracked	clean	json	not-runtime|must-not-package	INTERNAL_ONLY	REUSE_WITH_FIXES	HISTORICAL_EVIDENCE	P2-PATH	retain-as-old-measurement-evidence-revalidate-before-runtime-policy
F057	docs/soc_rate_limit.courses_stress2.json	1266	61	6AB196A155FC63466448298B5C27F3DBCE568D9AB2507104C4441FD78D60AC27	tracked	clean	json	not-runtime|must-not-package	INTERNAL_ONLY	REUSE_WITH_FIXES	HISTORICAL_EVIDENCE	P2-PATH	retain-as-old-measurement-evidence-revalidate-before-runtime-policy
F058	docs/soc_rate_limit.latest.json	3244	145	233DFE54638F31FCD11C3B96F2AF44AB1BE01996962644910B5CB53EDE2AB9A8	tracked	clean	json	not-runtime|must-not-package	INTERNAL_ONLY	REUSE_WITH_FIXES	HISTORICAL_EVIDENCE	P2-PATH	retain-as-old-measurement-evidence-revalidate-before-runtime-policy
F059	docs/soc_rate_limit.md	6636	61	F2BD756012E517A8B4796C80BCC43A2AD8F4D877A487EC8E07C4E42052DADAC0	tracked	clean	md	not-runtime|must-not-package	INTERNAL_ONLY	REUSE_WITH_FIXES	HISTORICAL_EVIDENCE	P2-PATH	retain-as-old-measurement-evidence-revalidate-before-runtime-policy
F060	docs/soc_rate_limit.openSections_blitz.json	774	37	748A8FC24683D85E855F7B31B00BE05410771E0CCBD8D96F78DCF7E71BED0003	tracked	clean	json	not-runtime|must-not-package	INTERNAL_ONLY	REUSE_WITH_FIXES	HISTORICAL_EVIDENCE	P2-PATH	retain-as-old-measurement-evidence-revalidate-before-runtime-policy
F061	docs/subscription_model.md	13233	223	958DE1EEFD3D139A71D61CAAA3C6E28B1D5BA6E815F61AAAB4107C3F18455E50	tracked	clean	md	not-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	rewrite-live-watch-every-open-toast-max-and-sound-contract-remove-mail-persistence
F062	docs/ui_flow_course_list.md	10208	135	9DF2C9880F46EBAF79F92A7B1E0D365AD60A8382A1F0C07546926745211A0EF5	tracked	clean	md	not-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	rewrite-course-section-flow-extract-local-saved-views-remove-current-calendar-compact-share-claims
F063	frontend/i18n/messages.json	28169	888	18807A5055F4D40F59209A96596095FAD7FC5E2E44013B664E606FBBA14DDE13	tracked	clean	json	frontend-runtime-or-build|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	retain-required-ui-contract-remove-mail-future-and-dead-semantics
F064	frontend/index.html	384	13	19DC225C67AB522809EDCBB3E786EE736BEFB1670ABCD43C817923F5EB4957F3	tracked	clean	html	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F065	frontend/package.json	633	26	C49945760561F0A3E81A98849E98EFC43A459260479BCDF8CD70D4759D90EC18	tracked	clean	json	frontend-runtime-or-build|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	retain-required-ui-contract-remove-mail-future-and-dead-semantics
F066	frontend/package-lock.json	63134	1820	167455D0EAEB68C7AFEF43EC084212E69BDA2E69B1457543015CA7594AFB164E	tracked	clean	json	frontend-runtime-or-build|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	retain-required-ui-contract-remove-mail-future-and-dead-semantics
F067	frontend/README.md	1071	18	596D29942B16475DE42298D4E05E9CDEB7CE244CE41483BF124E655674BB73C3	tracked	clean	md	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F068	frontend/src/api/admin.ts	418	8	437A3970F0D881894A108E157B3505067D18AFD2A4A3FB08F11B566771CE3536	tracked	clean	ts	reachable-mail-ui|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-and-prove-zero-bundle-route-style-i18n-residue
F069	frontend/src/api/client.ts	3650	138	3C7EAF1ABB412A111730403092F9A6F0FB35DAF460EEA76F24F8AC8BF281FE30	tracked	clean	ts	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F070	frontend/src/api/fetchJobs.ts	524	19	FB9396909BB10254E617B43850AC8C0BE1A7F873C62CD0A3B14077E50F5A458F	tracked	clean	ts	reachable-local-data-admin-ui|compiled-static-ui	REQUIRED	REWRITE	LOCAL_ONLY	P2-PATH	replace-crawler-log-surface-with-safe-freshness-refresh-settings
F071	frontend/src/api/filters.ts	4174	143	FD462F1AE5FF60A5BC6D89FBAD616AD29DF8BD4BD49A71800B08B7856683754D	tracked	clean	ts	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F072	frontend/src/api/notifications.ts	399	10	8746F35518248F2495E9FD4B97A74DADCA120F5DBA658EEFC1B27EB7C9BC511E	tracked	clean	ts	legacy-watch-ui-or-orphan|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-ui-audio-toast-value-rewrite-protocol-remove-email-and-persistent-active
F073	frontend/src/api/subscriptions.ts	683	17	5383F840727068E9DF2729D0EDACEB832B97DD20725992F3A55AF0E750B27956	tracked	clean	ts	legacy-watch-ui-or-orphan|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-ui-audio-toast-value-rewrite-protocol-remove-email-and-persistent-active
F074	frontend/src/api/types.ts	6890	290	4DCBE5076464E00BC7FBCBDEFC42FCB957C79587FE2EA2BC947FAC9FF0237373	tracked	clean	ts	frontend-runtime-or-build|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	retain-required-ui-contract-remove-mail-future-and-dead-semantics
F075	frontend/src/App.css	1836	103	C4EE2EA22D876B439F5424C5C92FD226CE62B84D5384B000E67716384CACB7B3	tracked	clean	css	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F076	frontend/src/App.tsx	5017	128	C7A691E113FDDBE623FE1CAC266FEFBFDF1DFB624E243C1D5A0A0BACE1F890A7	tracked	clean	tsx	frontend-runtime-or-build|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	retain-required-ui-contract-remove-mail-future-and-dead-semantics
F077	frontend/src/components/CourseList.css	4856	269	E706180980AB017D4125BF08B551600B7A025419DC21EF56441DEEDA0AF96F7D	tracked	clean	css	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F078	frontend/src/components/CourseList.tsx	7079	219	525569DF3C7CB22996DB89FCBA7386D845B6ED87C31FFA5527AD5277F7B48B16	tracked	clean	tsx	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F079	frontend/src/components/DataFetchCard.css	2715	144	D356E889AD191584636BADA0C5FA7A927ED995BC232DF7E75300C8A271C5C87D	tracked	clean	css	reachable-local-data-admin-ui|compiled-static-ui	REQUIRED	REWRITE	LOCAL_ONLY	P2-PATH	replace-crawler-log-surface-with-safe-freshness-refresh-settings
F080	frontend/src/components/DataFetchCard.tsx	9143	241	2FDE3211C625C842F594B48DA98C98080686855BD0D227F4D579F2CB8C0A62A1	tracked	clean	tsx	reachable-local-data-admin-ui|compiled-static-ui	REQUIRED	REWRITE	LOCAL_ONLY	P2-PATH	replace-crawler-log-surface-with-safe-freshness-refresh-settings
F081	frontend/src/components/FilterPanel.css	4075	216	DEA21BDC2064B7C14D0C5C1BD822E270994C4C80632BF2105862065996844281	tracked	clean	css	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F082	frontend/src/components/FilterPanel.tsx	26298	784	CD4C311AC3CA13E895368AC4D405FBB22E351B8C34C9E381FE4135DBF576A1E8	tracked	clean	tsx	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F083	frontend/src/components/LanguageSwitcher.css	1288	60	463792F778BBA057C329B6AD6B13546E2892B7F7B3F15B6C71F0CB73E3A2AB64	tracked	clean	css	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F084	frontend/src/components/LanguageSwitcher.tsx	2556	81	A214E63664457220DE4F0C74F49FDACC015A8C037AB8D01873418F853691E35B	tracked	clean	tsx	frontend-runtime-or-build|compiled-static-ui	REQUIRED	REUSE_WITH_FIXES	BASELINE_SHARED	P2-PATH	reuse-only-after-contract-accessibility-state-and-residue-fixes
F085	frontend/src/components/LocalSoundToggle.css	2920	151	99E9F907157888B56B5BD7136769BEAEE5CBBB5D832E164C4EDE43BDA76B0E16	tracked	clean	css	legacy-watch-ui-or-orphan|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-ui-audio-toast-value-rewrite-protocol-remove-email-and-persistent-active
F086	frontend/src/components/LocalSoundToggle.tsx	4672	120	28F32DD2A5A153F615E49A33B9064053CAE8E3B9A8A6E1D7F6337EE91876490B	tracked	clean	tsx	legacy-watch-ui-or-orphan|compiled-static-ui	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-ui-audio-toast-value-rewrite-protocol-remove-email-and-persistent-active
F087	frontend/src/components/MailSettingsPanel.css	5137	274	F6C37C60D8391821688B8C09967D87BA855A37E6EED1AF39473C11FF3ACFB14C	tracked	clean	css	reachable-mail-ui|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-and-prove-zero-bundle-route-style-i18n-residue
F088	frontend/src/components/MailSettingsPanel.tsx	15043	433	98B93550E47D6365EF84CBAF8387736F13778B9A4EB15686504733DDDF3E06E4	tracked	clean	tsx	reachable-mail-ui|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-and-prove-zero-bundle-route-style-i18n-residue
F089	frontend/src/components/SchedulePreview.css	2823	147	8C56B9E0A12817F355A9E1EDC777086E1EC4CD1292A5000438690C149FEE5CE3	tracked	clean	css	orphan-future-component|must-not-package	FUTURE	DEFER	FUTURE	P2-PATH	move-out-of-current-product-source-and-prove-artifact-absence
