ecosystem	name	version	license_expression	decision	scope	direct	lock_key	decision_reason	target_evidence
npm	@csstools/css-parser-algorithms	4.0.0	MIT	APPROVED	dev	false	npm:node_modules/@csstools/css-parser-algorithms	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@csstools/css-syntax-patches-for-csstree	1.1.6	MIT-0	APPROVED	dev	false	npm:node_modules/@csstools/css-syntax-patches-for-csstree	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@csstools/css-tokenizer	4.0.0	MIT	APPROVED	dev	false	npm:node_modules/@csstools/css-tokenizer	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@emnapi/core	1.11.1	MIT	APPROVED	dev	false	npm:node_modules/@emnapi/core	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@emnapi/runtime	1.11.1	MIT	APPROVED	dev	false	npm:node_modules/@emnapi/runtime	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@emnapi/wasi-threads	1.2.2	MIT	APPROVED	dev	false	npm:node_modules/@emnapi/wasi-threads	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@exodus/bytes	1.15.1	MIT	APPROVED	dev	false	npm:node_modules/@exodus/bytes	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@jridgewell/sourcemap-codec	1.5.5	MIT	APPROVED	dev	false	npm:node_modules/@jridgewell/sourcemap-codec	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@napi-rs/wasm-runtime	1.1.6	MIT	APPROVED	dev	false	npm:node_modules/@napi-rs/wasm-runtime	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@oxc-project/types	0.139.0	MIT	APPROVED	dev	false	npm:node_modules/@oxc-project/types	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-android-arm64	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-android-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-darwin-arm64	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-darwin-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-darwin-x64	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-darwin-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-freebsd-x64	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-freebsd-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-arm-gnueabihf	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-arm-gnueabihf	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-arm64-gnu	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-arm64-gnu	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-arm64-musl	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-arm64-musl	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-ppc64-gnu	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-ppc64-gnu	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-s390x-gnu	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-s390x-gnu	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-x64-gnu	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-x64-gnu	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-linux-x64-musl	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-linux-x64-musl	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-openharmony-arm64	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-openharmony-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-wasm32-wasi	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-wasm32-wasi	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-win32-arm64-msvc	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-win32-arm64-msvc	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/binding-win32-x64-msvc	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/binding-win32-x64-msvc	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@rolldown/pluginutils	1.0.1	MIT	APPROVED	dev	false	npm:node_modules/@rolldown/pluginutils	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@standard-schema/spec	1.1.0	MIT	APPROVED	dev	false	npm:node_modules/@standard-schema/spec	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@testing-library/dom	10.4.1	MIT	APPROVED	dev	true	npm:node_modules/@testing-library/dom	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@testing-library/react	16.3.2	MIT	APPROVED	dev	true	npm:node_modules/@testing-library/react	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@tybys/wasm-util	0.10.3	MIT	APPROVED	dev	false	npm:node_modules/@tybys/wasm-util	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/aria-query	5.0.4	MIT	APPROVED	dev	false	npm:node_modules/@types/aria-query	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/chai	5.2.3	MIT	APPROVED	dev	false	npm:node_modules/@types/chai	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/deep-eql	4.0.2	MIT	APPROVED	dev	false	npm:node_modules/@types/deep-eql	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/estree	1.0.9	MIT	APPROVED	dev	false	npm:node_modules/@types/estree	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/jsdom	28.0.3	MIT	APPROVED	dev	true	npm:node_modules/@types/jsdom	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/node	26.1.1	MIT	APPROVED	dev	true	npm:node_modules/@types/node	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/react	19.2.17	MIT	APPROVED	dev	true	npm:node_modules/@types/react	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/react-dom	19.2.3	MIT	APPROVED	dev	true	npm:node_modules/@types/react-dom	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@types/tough-cookie	4.0.5	MIT	APPROVED	dev	false	npm:node_modules/@types/tough-cookie	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-aix-ppc64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-aix-ppc64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-darwin-arm64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-darwin-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-darwin-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-darwin-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-freebsd-arm64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-freebsd-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-freebsd-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-freebsd-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-arm	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-arm	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-arm64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-loong64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-loong64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-mips64el	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-mips64el	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-ppc64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-ppc64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-riscv64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-riscv64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-s390x	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-s390x	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-linux-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-linux-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-netbsd-arm64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-netbsd-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-netbsd-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-netbsd-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-openbsd-arm64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-openbsd-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-openbsd-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-openbsd-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-sunos-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-sunos-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-win32-arm64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-win32-arm64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@typescript/typescript-win32-x64	7.0.2	Apache-2.0	APPROVED	runtime	false	npm:node_modules/@typescript/typescript-win32-x64	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitejs/plugin-react	6.0.3	MIT	APPROVED	dev	true	npm:node_modules/@vitejs/plugin-react	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/expect	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/expect	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/mocker	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/mocker	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/pretty-format	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/pretty-format	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/runner	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/runner	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/snapshot	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/snapshot	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/spy	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/spy	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@vitest/utils	4.1.10	MIT	APPROVED	dev	false	npm:node_modules/@vitest/utils	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	ansi-regex	5.0.1	MIT	APPROVED	dev	false	npm:node_modules/ansi-regex	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	ansi-styles	5.2.0	MIT	APPROVED	dev	false	npm:node_modules/ansi-styles	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	aria-query	5.3.0	Apache-2.0	APPROVED	dev	false	npm:node_modules/aria-query	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	assertion-error	2.0.1	MIT	APPROVED	dev	false	npm:node_modules/assertion-error	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	axe-core	4.12.1	MPL-2.0	APPROVED	dev	true	npm:node_modules/axe-core	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	better-course-schedule-planner-frontend	0.0.1	ISC	APPROVED	runtime	true	npm:.	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	bidi-js	1.0.3	MIT	APPROVED	dev	false	npm:node_modules/bidi-js	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	chai	6.2.2	MIT	APPROVED	dev	false	npm:node_modules/chai	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	convert-source-map	2.0.0	MIT	APPROVED	dev	false	npm:node_modules/convert-source-map	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	cookie	1.1.1	MIT	APPROVED	runtime	false	npm:node_modules/cookie	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	css-tree	3.2.1	MIT	APPROVED	dev	false	npm:node_modules/css-tree	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	csstype	3.2.3	MIT	APPROVED	dev	false	npm:node_modules/csstype	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	data-urls	7.0.0	MIT	APPROVED	dev	false	npm:node_modules/data-urls	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	decimal.js	10.6.0	MIT	APPROVED	dev	false	npm:node_modules/decimal.js	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	dequal	2.0.3	MIT	APPROVED	dev	false	npm:node_modules/dequal	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	detect-libc	2.1.2	Apache-2.0	APPROVED	dev	false	npm:node_modules/detect-libc	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	dom-accessibility-api	0.5.16	MIT	APPROVED	dev	false	npm:node_modules/dom-accessibility-api	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	entities	8.0.0	BSD-2-Clause	APPROVED	dev	false	npm:node_modules/entities	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	es-module-lexer	2.3.1	MIT	APPROVED	dev	false	npm:node_modules/es-module-lexer	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	estree-walker	3.0.3	MIT	APPROVED	dev	false	npm:node_modules/estree-walker	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	expect-type	1.4.0	Apache-2.0	APPROVED	dev	false	npm:node_modules/expect-type	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	fdir	6.5.0	MIT	APPROVED	dev	false	npm:node_modules/fdir	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	fsevents	2.3.2	MIT	APPROVED	dev	false	npm:node_modules/fsevents	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	fsevents	2.3.3	MIT	APPROVED	dev	false	npm:node_modules/vite/node_modules/fsevents	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	html-encoding-sniffer	6.0.0	MIT	APPROVED	dev	false	npm:node_modules/html-encoding-sniffer	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	html-parse-stringify	3.0.1	MIT	APPROVED	runtime	false	npm:node_modules/html-parse-stringify	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	i18next	26.3.6	MIT	APPROVED	runtime	true	npm:node_modules/i18next	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	is-potential-custom-element-name	1.0.1	MIT	APPROVED	dev	false	npm:node_modules/is-potential-custom-element-name	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	js-tokens	4.0.0	MIT	APPROVED	dev	false	npm:node_modules/js-tokens	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	jsdom	29.1.1	MIT	APPROVED	dev	true	npm:node_modules/jsdom	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	lightningcss	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-android-arm64	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-android-arm64	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-darwin-arm64	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-darwin-arm64	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-darwin-x64	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-darwin-x64	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-freebsd-x64	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-freebsd-x64	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-linux-arm-gnueabihf	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-linux-arm-gnueabihf	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-linux-arm64-gnu	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-linux-arm64-gnu	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-linux-arm64-musl	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-linux-arm64-musl	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-linux-x64-gnu	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-linux-x64-gnu	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-linux-x64-musl	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-linux-x64-musl	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-win32-arm64-msvc	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-win32-arm64-msvc	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lightningcss-win32-x64-msvc	1.32.0	MPL-2.0	APPROVED	dev	false	npm:node_modules/lightningcss-win32-x64-msvc	DEV_ONLY_UNMODIFIED_EXCLUDED_FROM_FINAL_RUNTIME_BUNDLES	NOT_APPLICABLE
npm	lru-cache	11.5.2	BlueOak-1.0.0	APPROVED	dev	false	npm:node_modules/lru-cache	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	lz-string	1.5.0	MIT	APPROVED	dev	false	npm:node_modules/lz-string	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	magic-string	0.30.21	MIT	APPROVED	dev	false	npm:node_modules/magic-string	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	mdn-data	2.27.1	CC0-1.0	APPROVED	dev	false	npm:node_modules/mdn-data	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	nanoid	3.3.16	MIT	APPROVED	dev	false	npm:node_modules/nanoid	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	obug	2.1.3	MIT	APPROVED	dev	false	npm:node_modules/obug	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	parse5	8.0.1	MIT	APPROVED	dev	false	npm:node_modules/parse5	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	pathe	2.0.3	MIT	APPROVED	dev	false	npm:node_modules/pathe	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	picocolors	1.1.1	ISC	APPROVED	dev	false	npm:node_modules/picocolors	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	picomatch	4.0.5	MIT	APPROVED	dev	false	npm:node_modules/picomatch	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	playwright	1.61.1	Apache-2.0	APPROVED	dev	true	npm:node_modules/playwright	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	playwright-core	1.61.1	Apache-2.0	APPROVED	dev	false	npm:node_modules/playwright-core	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	postcss	8.5.19	MIT	APPROVED	dev	false	npm:node_modules/postcss	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	pretty-format	27.5.1	MIT	APPROVED	dev	false	npm:node_modules/pretty-format	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	punycode	2.3.1	MIT	APPROVED	dev	false	npm:node_modules/punycode	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	react	19.2.7	MIT	APPROVED	runtime	true	npm:node_modules/react	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	react-dom	19.2.7	MIT	APPROVED	runtime	true	npm:node_modules/react-dom	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	react-i18next	17.0.9	MIT	APPROVED	runtime	true	npm:node_modules/react-i18next	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	react-is	17.0.2	MIT	APPROVED	dev	false	npm:node_modules/react-is	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	react-router	7.18.1	MIT	APPROVED	runtime	false	npm:node_modules/react-router	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	react-router-dom	7.18.1	MIT	APPROVED	runtime	true	npm:node_modules/react-router-dom	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	require-from-string	2.0.2	MIT	APPROVED	dev	false	npm:node_modules/require-from-string	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	rolldown	1.1.5	MIT	APPROVED	dev	false	npm:node_modules/rolldown	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	saxes	6.0.0	ISC	APPROVED	dev	false	npm:node_modules/saxes	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	scheduler	0.27.0	MIT	APPROVED	runtime	false	npm:node_modules/scheduler	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	set-cookie-parser	2.7.2	MIT	APPROVED	runtime	false	npm:node_modules/set-cookie-parser	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	siginfo	2.0.0	ISC	APPROVED	dev	false	npm:node_modules/siginfo	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	source-map-js	1.2.1	BSD-3-Clause	APPROVED	dev	false	npm:node_modules/source-map-js	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	stackback	0.0.2	MIT	APPROVED	dev	false	npm:node_modules/stackback	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	std-env	4.2.0	MIT	APPROVED	dev	false	npm:node_modules/std-env	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	symbol-tree	3.2.4	MIT	APPROVED	dev	false	npm:node_modules/symbol-tree	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tinybench	2.9.0	MIT	APPROVED	dev	false	npm:node_modules/tinybench	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tinyexec	1.2.4	MIT	APPROVED	dev	false	npm:node_modules/tinyexec	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tinyglobby	0.2.17	MIT	APPROVED	dev	false	npm:node_modules/tinyglobby	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tinyrainbow	3.1.0	MIT	APPROVED	dev	false	npm:node_modules/tinyrainbow	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tldts	7.4.8	MIT	APPROVED	dev	false	npm:node_modules/tldts	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tldts-core	7.4.8	MIT	APPROVED	dev	false	npm:node_modules/tldts-core	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tough-cookie	6.0.2	BSD-3-Clause	APPROVED	dev	false	npm:node_modules/tough-cookie	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tr46	6.0.0	MIT	APPROVED	dev	false	npm:node_modules/tr46	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	tslib	2.8.1	0BSD	APPROVED	dev	false	npm:node_modules/tslib	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	typescript	7.0.2	Apache-2.0	APPROVED	runtime	true	npm:node_modules/typescript	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	undici	7.28.0	MIT	APPROVED	dev	false	npm:node_modules/undici	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	undici-types	7.28.0	MIT	APPROVED	dev	false	npm:node_modules/undici-types	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
